source_root,task,mode,seed_dir,run_name,group,alias,selection_protocol,seed,data_seed,model_seed,shuffle_seed,structure_seed,epochs,path,curated_link
former results/3.12results，128,hard,fixed,seed_0,20260312_203338,canonical,seed_0,legacy_final_test_only,0,11,23,37,53,3000,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/fixed/seed_0/20260312_203338,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/fixed/seed_0/20260312_203338
former results/3.12results，128,hard,fixed,seed_1,20260312_203503,canonical,seed_1,legacy_final_test_only,1,12,24,38,54,3000,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/fixed/seed_1/20260312_203503,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/fixed/seed_1/20260312_203503
former results/3.12results，128,hard,fixed,seed_2,20260312_203628,canonical,seed_2,legacy_final_test_only,2,13,25,39,55,3000,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/fixed/seed_2/20260312_203628,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/fixed/seed_2/20260312_203628
former results/3.12results，128,hard,fixed,seed_3,20260312_203754,canonical,seed_3,legacy_final_test_only,3,14,26,40,56,3000,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/fixed/seed_3/20260312_203754,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/fixed/seed_3/20260312_203754
former results/3.12results，128,hard,fixed,seed_4,20260312_203919,canonical,seed_4,legacy_final_test_only,4,15,27,41,57,3000,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/fixed/seed_4/20260312_203919,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/fixed/seed_4/20260312_203919
former results/3.12results，128,hard,fixed,seed_5,20260312_204045,canonical,seed_5,legacy_final_test_only,5,16,28,42,58,3000,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/fixed/seed_5/20260312_204045,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/fixed/seed_5/20260312_204045
former results/3.12results，128,hard,fixed,seed_6,20260312_204208,canonical,seed_6,legacy_final_test_only,6,17,29,43,59,3000,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/fixed/seed_6/20260312_204208,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/fixed/seed_6/20260312_204208
former results/3.12results，128,hard,fixed,seed_7,20260312_204333,canonical,seed_7,legacy_final_test_only,7,18,30,44,60,3000,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/fixed/seed_7/20260312_204333,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/fixed/seed_7/20260312_204333
former results/3.12results，128,hard,fixed,seed_8,20260312_204457,canonical,seed_8,legacy_final_test_only,8,19,31,45,61,3000,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/fixed/seed_8/20260312_204457,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/fixed/seed_8/20260312_204457
former results/3.12results，128,hard,fixed,seed_9,20260312_204622,canonical,seed_9,legacy_final_test_only,9,20,32,46,62,3000,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/fixed/seed_9/20260312_204622,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/fixed/seed_9/20260312_204622
former results/3.12results，128,hard,prune_grow_random,seed_0,20260311_192315,canonical,seed_0,legacy_final_test_only,0,11,23,37,53,3000,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/prune_grow_random/seed_0/20260311_192315,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/prune_grow_random/seed_0/20260311_192315
former results/3.12results，128,hard,prune_grow_random,seed_1,20260311_192440,canonical,seed_1,legacy_final_test_only,1,12,24,38,54,3000,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/prune_grow_random/seed_1/20260311_192440,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/prune_grow_random/seed_1/20260311_192440
former results/3.12results，128,hard,prune_grow_random,seed_2,20260311_192604,canonical,seed_2,legacy_final_test_only,2,13,25,39,55,3000,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/prune_grow_random/seed_2/20260311_192604,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/prune_grow_random/seed_2/20260311_192604
former results/3.12results，128,hard,prune_grow_random,seed_3,20260311_192730,canonical,seed_3,legacy_final_test_only,3,14,26,40,56,3000,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/prune_grow_random/seed_3/20260311_192730,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/prune_grow_random/seed_3/20260311_192730
former results/3.12results，128,hard,prune_grow_random,seed_4,20260311_192855,canonical,seed_4,legacy_final_test_only,4,15,27,41,57,3000,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/prune_grow_random/seed_4/20260311_192855,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/prune_grow_random/seed_4/20260311_192855
former results/3.12results，128,hard,prune_grow_random,seed_5,20260311_193019,canonical,seed_5,legacy_final_test_only,5,16,28,42,58,3000,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/prune_grow_random/seed_5/20260311_193019,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/prune_grow_random/seed_5/20260311_193019
former results/3.12results，128,hard,prune_grow_random,seed_6,20260311_193143,canonical,seed_6,legacy_final_test_only,6,17,29,43,59,3000,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/prune_grow_random/seed_6/20260311_193143,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/prune_grow_random/seed_6/20260311_193143
former results/3.12results，128,hard,prune_grow_random,seed_7,20260311_193309,canonical,seed_7,legacy_final_test_only,7,18,30,44,60,3000,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/prune_grow_random/seed_7/20260311_193309,/Users/shizhenpeng/Desktop/学术/科研/AI/neuron-survival-dynamics/former results/3.12results，128/hard/prune_grow_random/seed_7/20260311_193309
