epoch,train_loss,test_loss,param_count,sizes,pruned,grown,size_0,size_1,size_2,pruned_0,pruned_1,pruned_2,grown_0,grown_1,grown_2
1,0.4388585126876831,0.37231876254081725,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
2,0.35402765212059023,0.28266365551948547,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
3,0.2156340307354927,0.14000186371803283,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
4,0.10590993144512177,0.09471502470970154,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
5,0.07570629426240921,0.06765198343992233,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
6,0.0568889616727829,0.04918752270936966,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
7,0.03845007475018501,0.035582979142665866,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
8,0.02375529573261738,0.026517144605517386,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
9,0.01461919809281826,0.009500352784991265,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
10,0.007437516930699348,0.008584715209901332,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
11,0.00550393585562706,0.003913334149867297,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
12,0.0030325270012021063,0.0030319603458046915,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
13,0.0023942753579467534,0.0019969177972525357,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
14,0.0017822523629292845,0.0018411721028387547,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
15,0.0014217587497085333,0.0012951485347002744,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
16,0.00106631091311574,0.000895426632836461,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
17,0.0008072975343093276,0.0007308475524187088,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
18,0.0007397772870957851,0.0009234843431040645,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
19,0.0005822711424902082,0.0012244121693074704,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
20,0.0007704855868592858,0.00140437288582325,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
21,0.0005388319738209248,0.0006470519816502929,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
22,0.00047995458678342403,0.0011357649080455303,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
23,0.00047647336511872707,0.0004152192184701562,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
24,0.0003628332723397762,0.0009803771693259477,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
25,0.00043270924841053783,0.0006088685486465693,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
26,0.0003882381887640804,0.0002394042096566409,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
27,0.0003003458204912022,0.000536295990459621,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
28,0.00042706027124077083,0.0002698455324862152,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
29,0.0003618443959392607,0.00043866063375025985,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
30,0.0003059136641444638,0.0007666005692444741,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
