epoch,train_loss,test_loss,param_count,sizes,pruned,grown,size_0,size_1,size_2,pruned_0,pruned_1,pruned_2,grown_0,grown_1,grown_2
1,0.4388585126876831,0.37231876254081725,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
2,0.35402765212059023,0.28266365551948547,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
3,0.2156340307354927,0.14000186371803283,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
4,0.10590993144512177,0.09471502470970154,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
5,0.07570629426240921,0.06765198343992233,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
6,0.0568889616727829,0.04918752270936966,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
7,0.03845007475018501,0.035582979142665866,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
8,0.02375529573261738,0.026517144605517386,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
9,0.01461919809281826,0.009500352784991265,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
10,0.007437516930699348,0.008584715209901332,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
11,0.00550393585562706,0.003913334149867297,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
12,0.0030325270012021063,0.0030319603458046915,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
13,0.0023942753579467534,0.0019969177972525357,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
14,0.0017822523629292845,0.0018411721028387547,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
15,0.0014217587497085333,0.0012951485347002744,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
16,0.00106631091311574,0.000895426632836461,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
17,0.0008072975343093276,0.0007308475524187088,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
18,0.0007397772870957851,0.0009234843431040645,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
19,0.0005822711424902082,0.0012244121693074704,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
20,0.0007704855868592858,0.037325304210186004,8577,"64,64,64","6,6,6","6,6,6",64,64,64,6,6,6,6,6,6
21,0.015986502138897775,0.0020608975933864714,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
22,0.001082227297872305,0.0006590622193180024,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
23,0.0005922799992840737,0.0005662414128892124,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
24,0.00046145963999442757,0.0004324089782312512,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
25,0.0003812691865488887,0.00039614801504649224,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
26,0.0003425938645377755,0.0004241571531165391,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
27,0.00031361159179359676,0.00033302980987355113,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
28,0.00027554689603857693,0.00044964488036930563,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
29,0.0002604630033485591,0.0003449691936839372,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
30,0.00023770390872377903,0.00021293352963402867,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
