epoch,train_loss,test_loss,param_count,sizes,pruned,grown,size_0,size_1,size_2,pruned_0,pruned_1,pruned_2,grown_0,grown_1,grown_2
1,0.4388585126876831,0.37231876254081725,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
2,0.35402765212059023,0.28266365551948547,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
3,0.2156340307354927,0.14000186371803283,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
4,0.10590993144512177,0.09471502470970154,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
5,0.07570629426240921,0.06765198343992233,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
6,0.0568889616727829,0.04918752270936966,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
7,0.03845007475018501,0.035582979142665866,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
8,0.02375529573261738,0.026517144605517386,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
9,0.01461919809281826,0.009500352784991265,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
10,0.007437516930699348,0.008584715209901332,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
11,0.00550393585562706,0.003913334149867297,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
12,0.0030325270012021063,0.0030319603458046915,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
13,0.0023942753579467534,0.0019969177972525357,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
14,0.0017822523629292845,0.0018411721028387547,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
15,0.0014217587497085333,0.0012951485347002744,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
16,0.00106631091311574,0.000895426632836461,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
17,0.0008072975343093276,0.0007308475524187088,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
18,0.0007397772870957851,0.0009234843431040645,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
19,0.0005822711424902082,0.0012244121693074704,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
20,0.0007704855868592858,4.347096973419189,8577,"64,64,64","6,6,6","6,6,6",64,64,64,6,6,6,6,6,6
21,0.4677238802552223,0.032458194583654405,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
22,0.011398080350458622,0.004727811112999916,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
23,0.0038006647035479547,0.003210292788222432,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
24,0.0029411006189882754,0.0025159469805657864,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
25,0.0022680588081479074,0.002080857565626502,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
26,0.0019062854297459127,0.001865690772421658,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
27,0.0016729059372097253,0.0015537948310375214,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
28,0.0014521413131617009,0.0014086893973872066,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
29,0.0013326604541391135,0.0012409366630017757,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
30,0.0011856346607208251,0.0011150914877653122,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
