epoch,train_loss,test_loss,param_count,sizes,pruned,grown,size_0,size_1,size_2,pruned_0,pruned_1,pruned_2,grown_0,grown_1,grown_2
1,0.25932481140494346,0.023083328023552896,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
2,0.005907318685948849,0.0008821719717234373,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
3,0.00036409493687096983,0.00014357774739619345,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
4,0.00011159653296926991,8.328199235256761e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
5,7.026670454069971e-05,6.117515242658555e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
6,5.2585272205760704e-05,4.3775274272775275e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
7,3.803598723607138e-05,3.85621601017192e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
8,3.2984419557033106e-05,2.977734195883386e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
9,2.5724102965614292e-05,2.2110223580966705e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
10,1.991471318033291e-05,1.6179816346266307e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
11,1.6313238558359445e-05,1.5176338070887142e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
12,1.434483080447535e-05,1.428291090996936e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
13,1.2312750131241047e-05,1.2158754783740733e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
14,1.1610485045639506e-05,1.0241688156384043e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
15,9.821398368512746e-06,8.620407512353268e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
16,8.95435892889509e-06,1.1683509568683803e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
17,8.941512016463093e-06,8.6102071145433e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
18,9.170941944466904e-06,9.21209589432692e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
19,8.30917755884002e-06,1.0005005169659853e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
20,8.455337656050687e-06,6.890037657285574e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
21,6.430433568311856e-06,1.4657254439953248e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
22,6.964431377127767e-06,7.355953464866616e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
23,6.001015174842905e-06,7.397995417704806e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
24,5.906198946468067e-06,8.561629132600501e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
25,6.185767755232518e-06,5.552396505663637e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
26,5.352975340792909e-06,5.1819425971189045e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
27,5.221793206874281e-06,8.369737915927544e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
28,6.2101020288537256e-06,5.055833975347923e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
29,5.036419268435566e-06,4.4424144398362845e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
30,5.029827216640115e-06,9.954983252100646e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
31,5.390826924121939e-06,5.225784036156256e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
32,5.063662135944469e-06,4.62945366234635e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
