epoch,train_loss,test_loss,param_count,sizes,pruned,grown,size_0,size_1,size_2,pruned_0,pruned_1,pruned_2,grown_0,grown_1,grown_2
1,0.25932481140494346,0.023083328023552896,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
2,0.005907318685948849,0.0008821719717234373,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
3,0.00036409493687096983,0.00014357774739619345,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
4,0.00011159653296926991,8.328199235256761e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
5,7.026670454069971e-05,6.117515242658555e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
6,5.2585272205760704e-05,4.3775274272775275e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
7,3.803598723607138e-05,3.85621601017192e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
8,3.2984419557033106e-05,2.977734195883386e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
9,2.5724102965614292e-05,2.2110223580966705e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
10,1.991471318033291e-05,1.6179816346266307e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
11,1.6313238558359445e-05,1.5176338070887142e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
12,1.434483080447535e-05,1.428291090996936e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
13,1.2312750131241047e-05,1.2158754783740733e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
14,1.1610485045639506e-05,1.0241688156384043e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
15,9.821398368512746e-06,8.620407512353268e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
16,8.95435892889509e-06,1.1683509568683803e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
17,8.941512016463093e-06,8.6102071145433e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
18,9.170941944466904e-06,9.21209589432692e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
19,8.30917755884002e-06,1.0005005169659853e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
20,8.455337656050687e-06,0.27074778819084167,8577,"64,64,64","6,6,6","6,6,6",64,64,64,6,6,6,6,6,6
21,0.025478059704136104,0.0007301607774570585,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
22,0.00045617501065135004,0.00011622498114593327,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
23,8.495643838541582e-05,6.484672939404845e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
24,5.646300682274159e-05,6.1004943068837744e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
25,4.660551238630432e-05,4.2575839266646656e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
26,3.625239544780925e-05,3.9325458754319696e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
27,3.043230848852545e-05,2.9523474921006708e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
28,2.6355381461326032e-05,2.5299843429820613e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
29,2.214813048194628e-05,2.0640138114686123e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
30,1.9347465550526975e-05,2.1560605862759986e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
31,1.7575310860411265e-05,1.7772089136997237e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
32,1.544842741859611e-05,1.616805241064867e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
