epoch,train_loss,test_loss,param_count,sizes,pruned,grown,size_0,size_1,size_2,pruned_0,pruned_1,pruned_2,grown_0,grown_1,grown_2
1,0.25932481140494346,0.023083328023552896,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
2,0.005907318685948849,0.0008821719717234373,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
3,0.00036409493687096983,0.00014357774739619345,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
4,0.00011159653296926991,8.328199235256761e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
5,7.026670454069971e-05,6.117515242658555e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
6,5.2585272205760704e-05,4.3775274272775275e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
7,3.803598723607138e-05,3.85621601017192e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
8,3.2984419557033106e-05,2.977734195883386e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
9,2.5724102965614292e-05,2.2110223580966705e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
10,1.991471318033291e-05,1.6179816346266307e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
11,1.6313238558359445e-05,1.5176338070887142e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
12,1.434483080447535e-05,1.428291090996936e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
13,1.2312750131241047e-05,1.2158754783740733e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
14,1.1610485045639506e-05,1.0241688156384043e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
15,9.821398368512746e-06,8.620407512353268e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
16,8.95435892889509e-06,1.1683509568683803e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
17,8.941512016463093e-06,8.6102071145433e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
18,9.170941944466904e-06,9.21209589432692e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
19,8.30917755884002e-06,1.0005005169659853e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
20,8.455337656050687e-06,7.3460120329400525e-06,7077,"58,58,58","6,6,6","0,0,0",58,58,58,6,6,6,0,0,0
21,0.001877476043230854,7.749857322778553e-05,7077,"58,58,58","0,0,0","0,0,0",58,58,58,0,0,0,0,0,0
22,4.4733457069378345e-05,1.1390775194740855e-05,7077,"58,58,58","0,0,0","0,0,0",58,58,58,0,0,0,0,0,0
23,9.09598142898176e-06,8.538732989109122e-06,7077,"58,58,58","0,0,0","0,0,0",58,58,58,0,0,0,0,0,0
24,8.1080644580652e-06,6.171523411467206e-06,7077,"58,58,58","0,0,0","0,0,0",58,58,58,0,0,0,0,0,0
25,6.4155289655900565e-06,5.76000092405593e-06,7077,"58,58,58","0,0,0","0,0,0",58,58,58,0,0,0,0,0,0
26,6.394695427297848e-06,7.405128868413158e-06,7077,"58,58,58","0,0,0","0,0,0",58,58,58,0,0,0,0,0,0
27,5.952090295613743e-06,6.7219890042906624e-06,7077,"58,58,58","0,0,0","0,0,0",58,58,58,0,0,0,0,0,0
28,5.542213696753606e-06,6.750793883838924e-06,7077,"58,58,58","0,0,0","0,0,0",58,58,58,0,0,0,0,0,0
29,5.439522310189204e-06,4.933257303491701e-06,7077,"58,58,58","0,0,0","0,0,0",58,58,58,0,0,0,0,0,0
30,5.0636244122870266e-06,4.99932502862066e-06,7077,"58,58,58","0,0,0","0,0,0",58,58,58,0,0,0,0,0,0
31,5.117001168764546e-06,5.6373424667981455e-06,7077,"58,58,58","0,0,0","0,0,0",58,58,58,0,0,0,0,0,0
32,4.625215771375224e-06,4.159257165156305e-06,7077,"58,58,58","0,0,0","0,0,0",58,58,58,0,0,0,0,0,0
